,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,account_id
1582,MASTER,YYf2d8B02GCygMilD47yrpTTYlqrDbH-QnysAEjT5DjZXA,세계 최강 르블랑,45,319,275,False,False,False,True,R05qKuvfJ9EiG4L5ZhDtt0q9VUMI-ivdunnEZbeqRTJp
1583,MASTER,6MSWY7G3RpCCuoxDoEOi_KyyPuOGV2aCR56B0FhWJJBZSq4,탑에 텔 탄다,202,235,131,False,False,False,False,7V7Ua0A2-KMJjzalorRyVvQNA1f6ykHuxakLv4aJ5r3OhMyO5dHfnI7C
1584,MASTER,JqLiz5CDNrT3HUeewYw68D1MdxVQNd0REYPbKAceqMkA4M8,Wei Bo Xie,206,206,182,False,False,False,False,Y1YxCA4Tz-g9yrNmAbDNnfeUz9jaCFujO2g647XQo43U9yA
1585,MASTER,TN0lkX-tmdRoRTuzwUKVe9VrXQJuEnyUBv9OpcgviQQUTlg1,니가지은성,312,318,231,True,False,False,True,Y3oHDt4LMVcNroshDG1la2nwS11pQBo09tWg3U39l4HKFYF3DozJYXh3
1586,MASTER,uYZU2O4pTHcKINXpcLt4B4FLsZQ79w_beJ7R6Bh5TMDyEw,to kill me,132,437,385,False,False,True,False,UIl3fJOvQeiFtkrpRitqOW2VTL7yMWP_6drqhStadG3V
1587,MASTER,tTWU6QcE5MqdzfbzS-92Ia5g-xMUpOa7vlz_q-hcyOokZuo,이리스,285,390,343,True,False,False,False,6Y2qYxe0G7a7_0EXrhHpz2tZaTyMa91aa3pWagtPN66xzJyGBIXn56Lf
1588,MASTER,IqOpdCyHc-KAiXiLv38SJL3-VBvUPWGrR7wKCNTG0YzAP84,NaPoLeoNe,31,1392,1372,False,False,True,False,ZJ3gFGls0fGeTpn6VcgzkY6xdjQ2cPjihE5VGEJgxjkX_6Q6tBei6mU6
1589,MASTER,E0QUnPPMqY8_Mj7bjrZ1jGGQveyVjL-H44HzVfS4saEroqHh,bu xu ma ren,212,543,450,False,False,True,False,O9FQnk5qtM5zNDFB0aW7NRnLiBJVPMBFPOZiTxdliaHwK3_6Ty6Sijpe
1590,MASTER,hYLhnVbYulTx1YzizCC21-n_d_fZua8usID1Uw0uNZ5pdjI,bufucisheng,328,482,449,True,False,False,True,UWdavL4_y6mGRmvahe_ovksPWb8A1_pfTGcb8df0H8wFBIiGocV5Q-pS
1591,MASTER,czPmyl2uBkryXZdCwKQAm4R2N3gMmpL59nlD4XPZEDh0Miw,YserAoA,45,386,334,False,False,True,False,aMfA4rs0cxzgyjroSKi2Epz509KXkryUw1HgxY4a7C1hazPZvF1t-Fha
