,0
337,7.5789456
338,-28.845613
339,47.475285
340,38.89317
341,-15.864077
342,-15.386802
343,-49.813442
344,9.164303
345,8.060072
346,56.53441
347,-3.0275934
348,10.674804
349,-54.0198
350,39.769867
351,-60.59749
352,26.864378
353,-68.5876
354,48.706886
355,-66.83463
356,-74.513855
357,11.588383
358,-74.769875
359,29.891653
360,25.940947
361,51.445946
362,21.153011
363,24.934141
364,29.373358
365,-20.007065
366,-15.889982
367,40.9935
368,-11.474692
369,-31.709854
370,-0.06593548
371,17.284498
372,16.749222
373,-59.13152
374,11.235959
375,52.666058
376,62.068066
377,24.484907
378,1.5194691
379,-73.749695
380,-29.379196
381,-23.827137
382,66.853
383,-73.47988
384,75.436554
385,-54.006954
386,-22.542938
387,-42.64894
388,-63.81527
389,-36.387997
390,-36.181625
391,54.98278
392,-50.045753
393,-74.58179
394,-70.15562
395,-19.025188
396,39.27518
397,-27.791664
398,-4.9540873
399,-21.97795
400,-22.25815
401,-16.593462
402,26.519648
403,54.526623
404,46.41327
405,46.379623
406,-69.828
407,40.368263
408,-47.810333
409,-71.92106
410,70.983
411,-50.532738
412,-29.225464
413,-13.119178
414,78.53663
415,45.460735
416,-22.804825
417,4.466724
418,35.86442
419,74.7772
420,-73.20434
421,-77.50227
422,40.471947
423,-72.68492
424,57.788086
425,3.5138636
426,37.852448
427,50.452778
428,-67.91821
429,63.894653
430,-71.06904
431,75.74787
432,-24.982618
433,-16.825773
434,42.871803
435,42.880955
436,-72.841675
437,60.960815
438,-43.48556
439,-63.485645
440,-63.11964
441,73.784454
442,32.27188
443,64.36627
444,70.11959
445,75.748886
446,-14.381021
447,57.835934
448,-32.103596
449,27.648932
450,45.171516
451,72.8226
452,-50.6986
453,-5.7402186
454,4.49373
455,25.737413
456,63.28733
457,9.751626
458,-18.715157
459,-16.894257
460,-24.925097
461,-60.33439
462,47.28057
463,12.853098
464,-71.611595
465,-9.775049
466,-0.7275045
467,-71.8143
468,-19.070702
469,2.6627502
470,-43.60144
471,54.779266
472,-36.013645
473,29.949429
474,-70.330864
475,-26.379194
476,13.611807
477,11.318526
478,-74.37745
479,-14.759526
480,-17.916481
481,9.261114
482,76.142296
483,-61.39849
484,-22.111399
485,7.180866
486,23.519012
487,44.44566
488,32.709408
489,44.248062
490,-33.132988
491,-0.30996823
492,-58.45907
493,46.894653
494,-14.299665
495,25.619097
496,65.106255
497,-74.15484
498,17.679392
499,57.27917
500,-6.806536
501,63.223648
502,3.3022344
503,-51.635033
504,38.397568
505,-46.441666
506,38.15179
507,-28.477531
508,-54.323547
