,gameId,teamId,champ_WR_dif,user_champ_WR,top_tier,jug_tier,mid_tier,carry_tier,support_tier,c_top_tier,c_jug_tier,c_mid_tier,c_carry_tier,c_support_tier,slayer,tank,fighter,mage,marksman,controller,c_slayer,c_tank,c_fighter,c_mage,c_marksman,c_controller,match_cnt,win
0,4730687544,100,0.005339999999999989,39.8,3.0,3.0,2.0,1.0,5.0,1.0,2.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,68.4,False
0,4730695110,200,0.012439999999999996,48.2,1.0,2.0,2.0,4.0,4.0,6.0,3.0,2.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,71.4,False
0,4730705602,100,-0.0013200000000000212,49.4,2.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,37.2,False
0,4730707064,200,-0.020200000000000006,49.6,5.0,1.0,4.0,3.0,2.0,3.0,2.0,3.0,5.0,4.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,91.2,False
0,4730724567,200,0.015719999999999977,57.0,4.0,3.0,5.0,2.0,5.0,2.0,3.0,4.0,1.0,5.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,47.8,True
0,4730733295,100,0.021799999999999996,55.4,6.0,1.0,6.0,1.0,2.0,3.0,3.0,6.0,3.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,194.8,False
0,4730767778,100,-0.010039999999999993,58.8,1.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,130.4,False
0,4730775169,100,-0.03425999999999999,44.0,5.0,5.0,2.0,2.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,56.4,False
0,4730793413,100,0.0010000000000000009,49.4,2.0,3.0,3.0,2.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,36.0,False
0,4730805896,200,-0.013040000000000019,43.4,3.0,1.0,3.0,3.0,5.0,1.0,2.0,2.0,4.0,5.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,89.2,False
0,4730816263,200,-0.015260000000000029,62.8,1.0,1.0,2.0,2.0,2.0,4.0,2.0,5.0,3.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,14.4,True
0,4730825368,200,0.01959999999999997,34.0,3.0,3.0,4.0,5.0,4.0,1.0,2.0,5.0,3.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,False
0,4730848529,200,0.015679999999999993,54.4,1.0,3.0,4.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,107.6,True
0,4730859202,100,0.011599999999999989,55.4,6.0,1.0,4.0,1.0,2.0,6.0,3.0,1.0,6.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,194.2,False
0,4730924426,100,-0.007599999999999996,50.2,2.0,3.0,5.0,2.0,4.0,1.0,3.0,6.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,68.2,True
0,4730928354,200,0.029559999999999996,55.0,5.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,164.2,True
0,4730936800,200,-0.008699999999999986,52.8,1.0,2.0,3.0,2.0,1.0,2.0,3.0,5.0,2.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,24.4,False
0,4730958181,200,-0.01422,52.0,5.0,2.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,144.0,False
